month,lgcode,n
202101,20561,108199
202101,20562,23683
202101,20563,73927
202101,20583,23091
202101,20588,6726
202101,20590,6298
202101,20602,6770
202101,21201,59887
202101,21202,17327
202101,21203,89770
202101,21204,20359
202101,21205,44843
202101,21206,56225
202101,21207,8483
202101,21208,42737
202101,21209,1994
202101,21210,47835
202101,21211,32182
202101,21212,22355
202101,21213,48637
202101,21214,81159
202101,21215,2583
202101,21216,853
202101,21217,24968
202101,21218,13543
202101,21219,365261
202101,21220,19208
202101,21221,41111
202101,21302,5784
202101,21303,540
202101,21341,6058
202101,21361,3529
202101,21362,7797
202101,21381,379
202101,21383,140
202101,21401,19988
202101,21403,13455
202101,21404,14775
202101,21421,450
202101,21501,64
202101,21502,7090
202101,21503,5549
202101,21504,4197
202101,21505,9841
202101,21506,21699
202101,21507,3367
202101,21521,11102
202101,21604,11247
202101,22101,68499
202101,22102,102593
202101,22103,60624
202101,22131,79515
202101,22132,5721
202101,22133,41788
202101,22134,10853
202101,22135,21391
202101,22136,8242
202101,22137,33062
202101,22203,60171
202101,22205,94934
202101,22206,105693
202101,22207,103157
202101,22208,140390
202101,22209,71096
202101,22210,78484
202101,22211,28073
202101,22212,14553
202101,22213,176601
202101,22214,31288
202101,22215,357899
202101,22216,53299
202101,22219,58344
202101,22220,42598
202101,22221,61261
202101,22222,57027
202101,22223,33301
202101,22224,11079
202101,22225,21690
202101,22226,10770
202101,22301,17183
202101,22302,9917
202101,22304,6236
202101,22305,6133
202101,22306,6601
202101,22325,61985
202101,22341,2595
202101,22342,4958
202101,22344,443825
202101,22424,3659
202101,22429,1175
202101,22461,46271
202101,23101,38453
202101,23102,22362
202101,23103,14916
202101,23104,18159
202101,23105,43236
202101,23106,207691
202101,23107,22375
202101,23108,7285
202101,23109,113991
202101,23110,12460
202101,23111,66079
202101,23112,16246
202101,23113,15192
202101,23114,12561
202101,23115,7318
202101,23116,5791
202101,23201,81429
202101,23202,89014
202101,23203,20773
202101,23204,22041
202101,23205,14526
202101,23206,14818
202101,23207,93441
202101,23208,16223
202101,23209,14529
202101,23210,37696
202101,23211,148565
202101,23212,21412
202101,23213,42699
202101,23214,43410
202101,23215,89137
202101,23216,54581
202101,23217,2986
202101,23219,9311
202101,23220,12496
202101,23221,81274
202101,23222,15553
202101,23223,6249
202101,23224,10686
202101,23225,5541
202101,23226,2965
202101,23227,2004
202101,23228,144
202101,23229,5747
202101,23230,11075
202101,23231,67720
202101,23232,24439
202101,23233,4211
202101,23234,722
202101,23235,7945
202101,23236,3524
202101,23237,971
202101,23238,23143
202101,23302,1477
202101,23342,1956
202101,23361,365
202101,23362,1435
202101,23424,24
202101,23425,4020
202101,23427,495
202101,23441,667
202101,23442,2679
202101,23445,17399
202101,23446,30809
202101,23447,3412
202101,23501,47385
202101,23561,6705
202101,23562,382
202101,23563,10456
202101,24201,149170
202101,24202,39236
202101,24203,245493
202101,24204,43283
202101,24205,99260
202101,24207,84268
202101,24208,25144
202101,24209,4884
202101,24210,37953
202101,24211,36087
202101,24212,9665
202101,24214,32640
202101,24215,41593
202101,24216,118484
202101,24303,106
202101,24324,12277
202101,24341,10978
202101,24343,3818
202101,24344,237
202101,24441,2312
202101,24442,3395
202101,24443,15426
202101,24461,1904
202101,24470,442
202101,24471,4158
202101,24472,952
202101,24543,18572
202101,24561,6979
202101,24562,12423
202101,25201,181076
202101,25202,25065
202101,25203,68146
202101,25204,19697
202101,25206,45550
202101,25207,27838
202101,25208,16558
202101,25209,96794
202101,25210,17569
202101,25211,8169
202101,25212,104450
202101,25213,37929
202101,25214,89972
202101,25383,14218
202101,25384,21248
202101,25425,319
202101,25441,260
202101,25442,13014
202101,25443,23425
202101,26101,49650
202101,26102,103547
202101,26103,167843
202101,26104,62192
202101,26105,178854
202101,26106,95673
202101,26107,29006
202101,26108,65066
202101,26109,152024
202101,26110,10519
202101,26111,19427
202101,26201,25498
202101,26202,31776
202101,26203,3169
202101,26204,23585
202101,26205,24415
202101,26206,34016
202101,26207,7385
202101,26208,1300
202101,26209,11710
202101,26210,38087
202101,26211,2608
202101,26212,15305
202101,26213,25681
202101,26214,21138
202101,26303,2727
202101,26322,8377
202101,26343,245
202101,26344,4216
202101,26364,6726
202101,26365,5773
202101,26366,1344
202101,26367,44180
202101,26407,111208
202101,26463,6194
202101,26465,3883
202101,27102,22173
202101,27103,20253
202101,27104,128279
202101,27106,58147
202101,27107,31653
202101,27108,5631
202101,27109,108771
202101,27111,58251
202101,27113,7024
202101,27114,4565
202101,27115,3538
202101,27116,6169
202101,27117,3139
202101,27118,6524
202101,27119,5562
202101,27120,45031
202101,27121,18017
202101,27122,4254
202101,27123,23242
202101,27124,22195
202101,27125,62623
202101,27126,5868
202101,27127,267900
202101,27128,242799
202101,27141,50442
202101,27142,3295
202101,27143,7914
202101,27144,9230
202101,27145,23132
202101,27146,8872
202101,27147,1973
202101,27202,80303
202101,27203,30932
202101,27204,18638
202101,27205,78583
202101,27206,5914
202101,27207,21040
202101,27208,16802
202101,27209,6650
202101,27210,39446
202101,27211,20876
202101,27212,9867
202101,27213,96025
202101,27214,11647
202101,27215,27861
202101,27216,18007
202101,27217,5072
202101,27218,7383
202101,27219,16781
202101,27220,34727
202101,27221,1192
202101,27222,10064
202101,27223,5258
202101,27224,2160
202101,27225,15748
202101,27226,3286
202101,27227,44723
202101,27228,22422
202101,27229,4266
202101,27230,10020
202101,27231,3100
202101,27232,2569
202101,27301,5401
202101,27321,816
202101,27322,19130
202101,27341,357
202101,27361,2120
202101,27362,171
202101,27366,37715
202101,27381,3326
202101,27382,7875
202101,27383,3095
202101,28101,24568
202101,28102,38547
202101,28105,28570
202101,28106,19168
